sample_idx,groups,suggested_question,ssim_winner,psnr_winner,pd_winner,mt_winner,direct_error_group_winner,distributional_group_winner,tail_group_winner,configured_physics_group_winner,crop_panel_path,full_panel_path,uv_panel_path,visual_winner,gan_sharper,gan_artifact_or_hallucination_candidate,cnn_oversmoothed,which_is_closer_to_gt_structure,notes
6,mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",CNN,CNN,GAN,GAN,CNN,CNN,CNN,CNN,panels_crop160/sample_006_speed_error_crop.png,,,,,,,,
8,mt_gan_diagnostic;neartie_topology_validator_disagreement;phase1_core_contrast;recommended_visual_inspection_unique;topology_consensus_gan,Near-tie edge case: do PD/MT reward real GAN structure or visually sharp artifacts?,CNN,CNN,GAN,GAN,CNN,CNN,GAN,CNN,panels_crop160/sample_008_speed_error_crop.png,,,,,,,,
12,gan_distributional_cases;mt_gan_diagnostic;neartie_topology_validator_disagreement;phase1_core_contrast;recommended_visual_inspection_unique;topology_consensus_gan,Near-tie edge case: do PD/MT reward real GAN structure or visually sharp artifacts?,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,panels_crop160/sample_012_speed_error_crop.png,,,,,,,,
16,gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,panels_crop160/sample_016_speed_error_crop.png,,,,,,,,
17,gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,panels_crop160/sample_017_speed_error_crop.png,,,,,,,,
18,gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,panels_crop160/sample_018_speed_error_crop.png,,,,,,,,
19,gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,panels_crop160/sample_019_speed_error_crop.png,,,,,,,,
20,gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,panels_crop160/sample_020_speed_error_crop.png,,,,,,,,
24,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_024_speed_error_crop.png,,,,,,,,
25,gan_distributional_cases;mt_gan_diagnostic;neartie_topology_validator_disagreement;phase1_core_contrast;recommended_visual_inspection_unique;topology_consensus_gan,Near-tie edge case: do PD/MT reward real GAN structure or visually sharp artifacts?,CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,panels_crop160/sample_025_speed_error_crop.png,,,,,,,,
27,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;mt_primary_controls;phase1_core_contrast;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_027_speed_error_crop.png,,,,,,,,
