0.0763,0.7799,0.4384,0.7235
0.9780,0.5385,0.5011,0.0721
0.2684,0.4999,0.6792,0.8037
0.3809,0.0659,0.2881,0.9096
0.2134,0.4521,0.9312,0.0249
0.6005,0.9501,0.2303,0.5485
0.9091,0.1332,0.5234,0.7504
0.6690,0.4678,0.2048,0.4908
0.3724,0.4774,0.3659,0.8379
0.7686,0.3140,0.5726,0.2760
0.4528,0.3530,0.6574,0.3704
0.4591,0.7193,0.4130,0.9064
0.1805,0.7411,0.4224,0.4265
0.6344,0.5229,0.4149,0.0014
0.0923,0.7094,0.5243,0.6962
0.9555,0.6829,0.0531,0.3089
0.5926,0.2351,0.9650,0.9450
0.8484,0.4723,0.8415,0.1311
0.3087,0.4630,0.7418,0.4858
0.1369,0.3435,0.3244,0.3004
0.1655,0.4149,0.4481,0.7749
0.7964,0.5224,0.4606,0.7782
0.8873,0.6749,0.8005,0.9391
0.0407,0.8757,0.2766,0.4758
0.7968,0.7172,0.1471,0.6587
0.0693,0.3571,0.8128,0.4277
0.5999,0.7282,0.8212,0.7605
0.0071,0.4203,0.4631,0.0555
0.5414,0.6078,0.8285,0.9418
0.1281,0.2304,0.6592,0.1325
