title,authors,year,url,bucket
Super-resolution and denoising of fluid flow using physics-informed convolutional neural networks without high-resolution labels,"H Gao, L Sun, JX Wang",2021,https://pubs.aip.org/aip/pof/article/33/7/073603/1076765,B
Spatio-temporal super-resolution of dynamical systems using physics-informed deep-learning,"R Arora, A Shrivastava",2022,https://arxiv.org/abs/2212.04457,B
Using physics-informed enhanced super-resolution generative adversarial networks for subfilter modeling in turbulent reactive flows,"M Bode, M Gauding, Z Lian, D Denker",2021,https://www.sciencedirect.com/science/article/pii/S1540748920300481,B
Unsupervised denoising and super-resolution of vascular flow data by physics-informed machine learning,"T Sautory, SC Shadden",2024,https://asmedigitalcollection.asme.org/biomechanical/article-abstract/146/9/091006/1198885,B
Using physics-informed super-resolution generative adversarial networks for subgrid modeling in turbulent reactive flows,"M Bode, M Gauding, Z Lian, D Denker",2019,https://arxiv.org/abs/1911.11380,B
Physics-informed CNNs for super-resolution of sparse observations on dynamical systems,"D Kelshaw, G Rigas, L Magri",2022,https://arxiv.org/abs/2210.17319,B
Advancing super-resolution of turbulent velocity fields: An artificial intelligence approach,"F Sofos, D Drikakis, IW Kokkinakis",2025,https://pubs.aip.org/aip/pof/article/37/3/035109/3338273,B
Applying physics-informed enhanced super-resolution generative adversarial networks to turbulent premixed combustion and engine-like flame kernel direct …,"M Bode, M Gauding, D Goeb, T Falkenstein",2023,https://www.sciencedirect.com/science/article/pii/S1540748922003121,B
Super-resolution reconstruction of turbulent flows from a single Lagrangian trajectory,"HL Wu, A Xu, HD Xi",2026,https://www.cambridge.org/core/journals/journal-of-fluid-mechanics/article/superresolution-reconstruction-of-turbulent-flows-from-a-single-lagrangian-trajectory/E227882835C234D96DA76F21458A68DD,B
Parametric super-resolution of turbulent channel flows from spatially sparse data using a transformer-based neural operator,"Y Wang, S Shelyag, J Schluter",2025,https://pubs.aip.org/aip/pof/article/37/12/125104/3373852,B
PhySRNet: Physics informed super-resolution network for application in computational solid mechanics,R Arora,2022,https://ieeexplore.ieee.org/abstract/document/10027589/,B
SIMR-NO: A Spectrally-Informed Multi-Resolution Neural Operator for Turbulent Flow Super-Resolution,"M Abid, O San",2026,https://arxiv.org/abs/2603.28073,B
Super resolution for turbulent flows in 2D: stabilized physics informed neural networks,"M Zayats, MJ Zimoń, K Yeo",2022,https://ieeexplore.ieee.org/abstract/document/9992729/,B
Super-resolution reconstruction of scalar fields from the pyrolysis of pulverised biomass using deep learning,"A Shamooni, R Cheng, T Zirwes, OT Stein",2025,https://www.sciencedirect.com/science/article/pii/S1540748925001968,B
