sample_idx,threshold_label,threshold_name,threshold_type,threshold_value,gt_count,bicubic_count,bicubic_abs_error,cnn_count,cnn_abs_error,gan_count,gan_abs_error,winner
17,p99,99th pct,percentile,21.744438,20,5,15,10,10,198,178,cnn
18,t5,5,fixed,5.0,99,13,86,22,77,136,37,gan
18,t10,10,fixed,10.0,337,67,270,131,206,423,86,gan
18,t15,15,fixed,15.0,83,9,74,12,71,227,144,cnn
18,p90,90th pct,percentile,18.842125,108,15,93,11,97,420,312,bicubic
18,p95,95th pct,percentile,20.255135,23,6,17,11,12,257,234,cnn
18,p99,99th pct,percentile,21.848198,37,13,24,28,9,165,128,cnn
19,t5,5,fixed,5.0,100,16,84,36,64,124,24,gan
19,t10,10,fixed,10.0,337,76,261,139,198,435,98,gan
19,t15,15,fixed,15.0,88,12,76,30,58,210,122,cnn
19,p90,90th pct,percentile,19.083221,142,27,115,24,118,516,374,bicubic
19,p95,95th pct,percentile,20.099487,70,16,54,28,42,320,250,cnn
19,p99,99th pct,percentile,21.99469,31,9,22,29,2,117,86,cnn
20,t5,5,fixed,5.0,74,12,62,37,37,141,67,cnn
20,t10,10,fixed,10.0,354,56,298,148,206,520,166,gan
20,t15,15,fixed,15.0,83,15,68,29,54,203,120,cnn
20,p90,90th pct,percentile,19.211403,176,23,153,52,124,595,419,cnn
20,p95,95th pct,percentile,20.084229,127,17,110,24,103,364,237,cnn
20,p99,99th pct,percentile,21.958069,35,9,26,17,18,98,63,cnn
21,t5,5,fixed,5.0,84,22,62,41,43,116,32,gan
21,t10,10,fixed,10.0,488,57,431,179,309,514,26,gan
21,t15,15,fixed,15.0,66,9,57,32,34,159,93,cnn
21,p90,90th pct,percentile,19.351784,167,15,152,47,120,540,373,cnn
21,p95,95th pct,percentile,20.148323,168,27,141,43,125,541,373,cnn
21,p99,99th pct,percentile,22.037415,33,13,20,18,15,114,81,cnn
22,t5,5,fixed,5.0,67,17,50,26,41,85,18,gan
22,t10,10,fixed,10.0,443,78,365,178,265,395,48,gan
22,t15,15,fixed,15.0,131,21,110,42,89,270,139,cnn
22,p90,90th pct,percentile,19.428085,184,23,161,58,126,571,387,cnn
22,p95,95th pct,percentile,20.242928,223,24,199,39,184,478,255,cnn
22,p99,99th pct,percentile,21.893982,55,15,40,31,24,97,42,cnn
23,t5,5,fixed,5.0,45,9,36,15,30,62,17,gan
23,t10,10,fixed,10.0,330,61,269,155,175,293,37,gan
23,t15,15,fixed,15.0,199,18,181,72,127,356,157,cnn
23,p90,90th pct,percentile,19.550156,178,20,158,50,128,424,246,cnn
23,p95,95th pct,percentile,20.474869,176,28,148,54,122,456,280,cnn
23,p99,99th pct,percentile,22.067965,85,13,72,18,67,106,21,gan
24,t5,5,fixed,5.0,27,5,22,7,20,28,1,gan
24,t10,10,fixed,10.0,316,51,265,100,216,303,13,gan
24,t15,15,fixed,15.0,297,31,266,100,197,416,119,gan
24,p90,90th pct,percentile,19.648126,227,19,208,51,176,449,222,cnn
24,p95,95th pct,percentile,20.603041,202,32,170,62,140,464,262,cnn
24,p99,99th pct,percentile,22.232735,86,18,68,25,61,131,45,gan
25,t5,5,fixed,5.0,29,2,27,6,23,24,5,gan
25,t10,10,fixed,10.0,312,48,264,101,211,233,79,gan
25,t15,15,fixed,15.0,326,44,282,132,194,465,139,gan
25,p90,90th pct,percentile,19.733575,181,31,150,68,113,414,233,cnn
25,p95,95th pct,percentile,20.865501,200,26,174,73,127,492,292,cnn
25,p99,99th pct,percentile,22.452469,120,17,103,29,91,142,22,gan
26,t5,5,fixed,5.0,14,1,13,3,11,9,5,gan
26,t10,10,fixed,10.0,349,56,293,109,240,317,32,gan
26,t15,15,fixed,15.0,343,55,288,188,155,529,186,cnn
26,p90,90th pct,percentile,19.754631,210,36,174,53,157,378,168,cnn
26,p95,95th pct,percentile,21.060823,214,34,180,103,111,402,188,cnn
26,p99,99th pct,percentile,22.93161,126,21,105,34,92,166,40,gan
27,t5,5,fixed,5.0,18,1,17,2,16,8,10,gan
27,t10,10,fixed,10.0,370,56,314,143,227,300,70,gan
27,t15,15,fixed,15.0,372,70,302,198,174,557,185,cnn
27,p90,90th pct,percentile,19.464706,178,31,147,82,96,328,150,cnn
27,p95,95th pct,percentile,21.094391,175,35,140,82,93,339,164,cnn
27,p99,99th pct,percentile,23.676292,93,17,76,42,51,140,47,gan
28,t5,5,fixed,5.0,9,1,8,2,7,13,4,gan
28,t10,10,fixed,10.0,364,56,308,113,251,351,13,gan
28,t15,15,fixed,15.0,325,52,273,186,139,580,255,cnn
28,p90,90th pct,percentile,18.591873,182,35,147,92,90,318,136,cnn
28,p95,95th pct,percentile,20.777,133,27,106,63,70,202,69,gan
28,p99,99th pct,percentile,23.395493,97,12,85,45,52,165,68,cnn
29,t5,5,fixed,5.0,9,1,8,4,5,17,8,cnn
29,t10,10,fixed,10.0,344,48,296,113,231,325,19,gan
29,t15,15,fixed,15.0,318,55,263,182,136,516,198,cnn
29,p90,90th pct,percentile,17.535934,211,43,168,102,109,476,265,cnn
29,p95,95th pct,percentile,19.626457,142,31,111,68,74,295,153,cnn
29,p99,99th pct,percentile,23.03537,77,10,67,34,43,148,71,cnn
30,t5,5,fixed,5.0,11,2,9,4,7,16,5,gan
30,t10,10,fixed,10.0,298,36,262,85,213,265,33,gan
30,t15,15,fixed,15.0,358,65,293,176,182,600,242,cnn
30,p90,90th pct,percentile,16.534927,264,59,205,162,102,657,393,cnn
30,p95,95th pct,percentile,17.972351,164,33,131,94,70,347,183,cnn
30,p99,99th pct,percentile,21.79937,83,12,71,31,52,127,44,gan
31,t5,5,fixed,5.0,12,2,10,4,8,19,7,gan
31,t10,10,fixed,10.0,304,54,250,113,191,293,11,gan
31,t15,15,fixed,15.0,455,90,365,206,249,655,200,gan
31,p90,90th pct,percentile,16.187019,304,54,250,153,151,573,269,cnn
31,p95,95th pct,percentile,17.114777,227,44,183,146,81,423,196,cnn
31,p99,99th pct,percentile,20.163612,96,19,77,56,40,168,72,cnn
32,t5,5,fixed,5.0,8,1,7,5,3,20,12,cnn
32,t10,10,fixed,10.0,305,60,245,108,197,347,42,gan
32,t15,15,fixed,15.0,456,69,387,199,257,660,204,gan
32,p90,90th pct,percentile,16.016113,347,57,290,167,180,687,340,cnn
32,p95,95th pct,percentile,16.638695,262,49,213,126,136,523,261,cnn
32,p99,99th pct,percentile,19.067993,111,15,96,76,35,180,69,cnn
33,t5,5,fixed,5.0,8,1,7,4,4,14,6,cnn
33,t10,10,fixed,10.0,297,52,245,117,180,321,24,gan
33,t15,15,fixed,15.0,456,81,375,221,235,693,237,cnn
33,p90,90th pct,percentile,15.884888,347,59,288,194,153,689,342,cnn
33,p95,95th pct,percentile,16.397598,295,64,231,175,120,624,329,cnn
33,p99,99th pct,percentile,18.07309,130,14,116,76,54,206,76,cnn
34,t5,5,fixed,5.0,11,1,10,1,10,12,1,gan
34,t10,10,fixed,10.0,249,45,204,81,168,289,40,gan
34,t15,15,fixed,15.0,454,78,376,228,226,743,289,cnn
34,p90,90th pct,percentile,15.903198,316,61,255,193,123,653,337,cnn
34,p95,95th pct,percentile,16.306038,286,70,216,201,85,871,585,cnn
34,p99,99th pct,percentile,17.72216,177,18,159,94,83,224,47,gan
35,t5,5,fixed,5.0,15,2,13,7,8,16,1,gan
35,t10,10,fixed,10.0,242,53,189,87,155,245,3,gan
35,t15,15,fixed,15.0,461,91,370,205,256,705,244,gan
35,p90,90th pct,percentile,15.915406,326,68,258,194,132,758,432,cnn
35,p95,95th pct,percentile,16.40065,295,55,240,152,143,736,441,cnn
35,p99,99th pct,percentile,17.734337,167,20,147,112,55,241,74,cnn
36,t5,5,fixed,5.0,28,4,24,10,18,25,3,gan
36,t10,10,fixed,10.0,286,54,232,95,191,216,70,gan
36,t15,15,fixed,15.0,425,75,350,210,215,674,249,cnn
36,p90,90th pct,percentile,16.11377,330,59,271,208,122,870,540,cnn
36,p95,95th pct,percentile,16.620377,289,50,239,152,137,631,342,cnn
36,p99,99th pct,percentile,17.856407,186,21,165,108,78,287,101,cnn
37,t5,5,fixed,5.0,32,3,29,19,13,37,5,gan
37,t10,10,fixed,10.0,279,69,210,130,149,217,62,gan
37,t15,15,fixed,15.0,414,72,342,203,211,617,203,gan
37,p90,90th pct,percentile,16.330452,304,43,261,172,132,781,477,cnn
37,p95,95th pct,percentile,17.004913,231,30,201,130,101,488,257,cnn
37,p99,99th pct,percentile,18.210396,137,21,116,119,18,297,160,cnn
38,t5,5,fixed,5.0,66,6,60,30,36,67,1,gan
38,t10,10,fixed,10.0,322,60,262,138,184,239,83,gan
38,t15,15,fixed,15.0,287,58,229,186,101,543,256,cnn
38,p90,90th pct,percentile,16.528824,204,35,169,149,55,542,338,cnn
38,p95,95th pct,percentile,17.258217,171,21,150,120,51,425,254,cnn
38,p99,99th pct,percentile,18.683434,100,8,92,60,40,201,101,cnn
39,t5,5,fixed,5.0,68,12,56,30,38,88,20,gan
39,t10,10,fixed,10.0,288,66,222,129,159,252,36,gan
39,t15,15,fixed,15.0,184,31,153,112,72,428,244,cnn
39,p90,90th pct,percentile,16.446426,135,9,126,76,59,329,194,cnn
39,p95,95th pct,percentile,17.444384,106,15,91,75,31,248,142,cnn
39,p99,99th pct,percentile,18.823814,55,6,49,41,14,177,122,cnn
40,t5,5,fixed,5.0,46,9,37,14,32,69,23,gan
40,t10,10,fixed,10.0,278,48,230,111,167,244,34,gan
40,t15,15,fixed,15.0,151,15,136,70,81,320,169,cnn
40,p90,90th pct,percentile,16.02832,104,8,96,56,48,259,155,cnn
40,p95,95th pct,percentile,17.273476,65,9,56,33,32,294,229,cnn
40,p99,99th pct,percentile,19.071014,33,4,29,14,19,146,113,cnn
41,t5,5,fixed,5.0,58,5,53,10,48,52,6,gan
41,t10,10,fixed,10.0,283,52,231,127,156,257,26,gan
41,t15,15,fixed,15.0,107,14,93,93,14,333,226,cnn
41,p90,90th pct,percentile,15.64074,87,7,80,45,42,226,139,cnn
41,p95,95th pct,percentile,16.861473,61,6,55,38,23,235,174,cnn
41,p99,99th pct,percentile,18.912323,23,4,19,12,11,112,89,cnn
42,t5,5,fixed,5.0,76,9,67,14,62,58,18,gan
42,t10,10,fixed,10.0,279,54,225,117,162,295,16,gan
42,t15,15,fixed,15.0,86,11,75,29,57,206,120,cnn
42,p90,90th pct,percentile,15.265358,86,11,75,28,58,171,85,cnn
42,p95,95th pct,percentile,16.391495,47,7,40,23,24,223,176,cnn
42,p99,99th pct,percentile,18.74752,19,2,17,5,14,120,101,cnn
43,t5,5,fixed,5.0,80,15,65,24,56,71,9,gan
43,t10,10,fixed,10.0,284,36,248,105,179,305,21,gan
43,t15,15,fixed,15.0,86,12,74,25,61,216,130,cnn
43,p90,90th pct,percentile,14.908295,87,15,72,25,62,233,146,cnn
43,p95,95th pct,percentile,15.848259,67,10,57,34,33,237,170,cnn
43,p99,99th pct,percentile,18.552198,22,3,19,6,16,115,93,cnn
44,t5,5,fixed,5.0,67,15,52,18,49,85,18,gan
44,t10,10,fixed,10.0,245,44,201,82,163,302,57,gan
44,t15,15,fixed,15.0,64,9,55,23,41,201,137,cnn
44,p90,90th pct,percentile,14.432205,99,10,89,29,70,186,87,cnn
44,p95,95th pct,percentile,15.405899,50,8,42,25,25,142,92,cnn
44,p99,99th pct,percentile,18.332497,25,5,20,10,15,112,87,cnn
45,t5,5,fixed,5.0,106,16,90,44,62,102,4,gan
45,t10,10,fixed,10.0,291,55,236,120,171,329,38,gan
45,t15,15,fixed,15.0,72,10,62,25,47,181,109,cnn
45,p90,90th pct,percentile,13.971375,98,15,83,45,53,308,210,cnn
45,p95,95th pct,percentile,15.02121,72,8,64,24,48,175,103,cnn
45,p99,99th pct,percentile,17.981506,28,7,21,23,5,140,112,cnn
46,t5,5,fixed,5.0,93,24,69,25,68,135,42,gan
46,t10,10,fixed,10.0,410,70,340,176,234,404,6,gan
46,t15,15,fixed,15.0,66,7,59,28,38,214,148,cnn
46,p90,90th pct,percentile,13.547165,132,16,116,68,64,355,223,cnn
46,p95,95th pct,percentile,14.737542,78,8,70,33,45,222,144,cnn
46,p99,99th pct,percentile,17.676323,37,7,30,23,14,127,90,cnn
47,t5,5,fixed,5.0,78,18,60,25,53,84,6,gan
47,t10,10,fixed,10.0,399,74,325,194,205,417,18,gan
47,t15,15,fixed,15.0,78,5,73,32,46,168,90,cnn
47,p90,90th pct,percentile,13.1138,161,13,148,105,56,406,245,cnn
47,p95,95th pct,percentile,14.368112,103,8,95,47,56,263,160,cnn
47,p99,99th pct,percentile,17.139198,45,8,37,27,18,132,87,cnn
48,t5,5,fixed,5.0,78,12,66,14,64,77,1,gan
48,t10,10,fixed,10.0,408,81,327,214,194,459,51,gan
48,t15,15,fixed,15.0,74,9,65,27,47,140,66,cnn
48,p90,90th pct,percentile,12.625511,209,28,181,101,108,504,295,cnn
48,p95,95th pct,percentile,13.901184,112,11,101,45,67,242,130,cnn
48,p99,99th pct,percentile,16.434219,50,8,42,24,26,100,50,cnn
49,t5,5,fixed,5.0,116,17,99,33,83,107,9,gan
49,t10,10,fixed,10.0,448,80,368,200,248,463,15,gan
49,t15,15,fixed,15.0,75,7,68,27,48,152,77,cnn
49,p90,90th pct,percentile,12.125008,263,41,222,127,136,521,258,cnn
49,p95,95th pct,percentile,13.324379,131,10,121,59,72,255,124,cnn
49,p99,99th pct,percentile,15.582748,58,7,51,32,26,124,66,cnn
50,t5,5,fixed,5.0,103,22,81,36,67,138,35,gan
50,t10,10,fixed,10.0,427,61,366,199,228,472,45,gan
50,t15,15,fixed,15.0,72,6,66,20,52,139,67,cnn
50,p90,90th pct,percentile,11.658072,285,51,234,128,157,540,255,cnn
50,p95,95th pct,percentile,12.74453,184,18,166,76,108,289,105,gan
50,p99,99th pct,percentile,14.761802,72,7,65,29,43,136,64,cnn
51,t5,5,fixed,5.0,109,23,86,32,77,117,8,gan
51,t10,10,fixed,10.0,428,66,362,179,249,517,89,gan
51,t15,15,fixed,15.0,53,3,50,15,38,109,56,cnn
51,p90,90th pct,percentile,11.218605,311,44,267,126,185,528,217,cnn
51,p95,95th pct,percentile,12.295906,201,25,176,72,129,333,132,cnn
51,p99,99th pct,percentile,13.937805,99,7,92,29,70,179,80,cnn
52,t5,5,fixed,5.0,106,18,88,43,63,133,27,gan
52,t10,10,fixed,10.0,459,57,402,162,297,526,67,gan
52,t15,15,fixed,15.0,50,1,49,7,43,74,24,gan
52,p90,90th pct,percentile,10.861534,305,46,259,162,143,488,183,cnn
52,p95,95th pct,percentile,11.89917,229,25,204,81,148,364,135,gan
52,p99,99th pct,percentile,13.153512,146,15,131,38,108,246,100,gan
53,t5,5,fixed,5.0,121,28,93,49,72,135,14,gan
53,t10,10,fixed,10.0,399,44,355,146,253,503,104,gan
53,t15,15,fixed,15.0,38,1,37,4,34,60,22,gan
53,p90,90th pct,percentile,10.531937,307,41,266,150,157,504,197,cnn
53,p95,95th pct,percentile,11.481064,237,33,204,112,125,397,160,cnn
53,p99,99th pct,percentile,12.686547,155,17,138,60,95,263,108,cnn
54,t5,5,fixed,5.0,126,22,104,47,79,176,50,gan
54,t10,10,fixed,10.0,339,56,283,142,197,448,109,gan
54,t15,15,fixed,15.0,42,1,41,7,35,64,22,gan
54,p90,90th pct,percentile,10.260323,310,49,261,129,181,459,149,gan
54,p95,95th pct,percentile,11.166725,267,44,223,98,169,396,129,gan
54,p99,99th pct,percentile,12.582779,173,18,155,52,121,266,93,gan
55,t5,5,fixed,5.0,123,25,98,50,73,169,46,gan
55,t10,10,fixed,10.0,324,55,269,130,194,399,75,gan
55,t15,15,fixed,15.0,51,1,50,12,39,88,37,gan
55,p90,90th pct,percentile,10.174873,315,52,263,130,185,384,69,gan
55,p95,95th pct,percentile,11.087372,286,44,242,120,166,410,124,gan
55,p99,99th pct,percentile,12.631646,168,29,139,70,98,265,97,gan
56,t5,5,fixed,5.0,154,32,122,63,91,195,41,gan
56,t10,10,fixed,10.0,316,55,261,120,196,354,38,gan
56,t15,15,fixed,15.0,51,1,50,13,38,95,44,cnn
56,p90,90th pct,percentile,10.193184,316,56,260,137,179,377,61,gan
56,p95,95th pct,percentile,11.206398,299,40,259,133,166,400,101,gan
56,p99,99th pct,percentile,12.69265,178,22,156,76,102,269,91,gan
57,t5,5,fixed,5.0,156,27,129,64,92,213,57,gan
57,t10,10,fixed,10.0,347,65,282,139,208,403,56,gan
57,t15,15,fixed,15.0,46,1,45,14,32,90,44,cnn
57,p90,90th pct,percentile,10.29084,323,62,261,129,194,380,57,gan
57,p95,95th pct,percentile,11.380356,319,50,269,128,191,344,25,gan
57,p99,99th pct,percentile,12.81472,193,26,167,60,133,293,100,gan
58,t5,5,fixed,5.0,234,26,208,53,181,229,5,gan
58,t10,10,fixed,10.0,329,67,262,140,189,397,68,gan
58,t15,15,fixed,15.0,55,1,54,18,37,98,43,cnn
58,p90,90th pct,percentile,10.425125,340,65,275,148,192,422,82,gan
58,p95,95th pct,percentile,11.597031,323,49,274,140,183,360,37,gan
58,p99,99th pct,percentile,13.031403,200,30,170,57,143,295,95,gan
59,t5,5,fixed,5.0,311,28,283,49,262,207,104,gan
59,t10,10,fixed,10.0,347,68,279,179,168,406,59,gan
59,t15,15,fixed,15.0,76,4,72,21,55,96,20,gan
59,p90,90th pct,percentile,10.635704,328,64,264,151,177,431,103,gan
59,p95,95th pct,percentile,11.807609,325,52,273,128,197,366,41,gan
59,p99,99th pct,percentile,13.293861,190,21,169,64,126,266,76,gan
60,t5,5,fixed,5.0,291,22,269,32,259,231,60,gan
60,t10,10,fixed,10.0,374,77,297,210,164,428,54,gan
60,t15,15,fixed,15.0,79,5,74,27,52,120,41,gan
60,p90,90th pct,percentile,10.843224,391,61,330,153,238,437,46,gan
60,p95,95th pct,percentile,11.999878,323,51,272,140,183,446,123,gan
60,p99,99th pct,percentile,13.516678,214,25,189,70,144,295,81,gan
61,t5,5,fixed,5.0,226,20,206,36,190,216,10,gan
61,t10,10,fixed,10.0,437,89,348,203,234,502,65,gan
61,t15,15,fixed,15.0,102,8,94,39,63,137,35,gan
61,p90,90th pct,percentile,11.062958,399,66,333,194,205,448,49,gan
61,p95,95th pct,percentile,12.253181,334,43,291,159,175,435,101,gan
61,p99,99th pct,percentile,13.840141,209,27,182,83,126,284,75,gan
62,t5,5,fixed,5.0,230,17,213,32,198,162,68,gan
62,t10,10,fixed,10.0,448,93,355,184,264,489,41,gan
62,t15,15,fixed,15.0,89,3,86,18,71,117,28,gan
62,p90,90th pct,percentile,10.660118,427,67,360,155,272,456,29,gan
62,p95,95th pct,percentile,11.893066,355,46,309,114,241,393,38,gan
62,p99,99th pct,percentile,13.583787,192,29,163,58,134,280,88,gan
63,t5,5,fixed,5.0,412,41,371,73,339,298,114,gan
63,t10,10,fixed,10.0,432,67,365,127,305,395,37,gan
63,t15,15,fixed,15.0,60,2,58,9,51,79,19,gan
63,p90,90th pct,percentile,10.373245,403,65,338,139,264,428,25,gan
63,p95,95th pct,percentile,11.478012,330,48,282,113,217,365,35,gan
63,p99,99th pct,percentile,13.351845,165,20,145,35,130,217,52,gan
64,t5,5,fixed,5.0,284,26,258,39,245,258,26,gan
64,t10,10,fixed,10.0,366,50,316,136,230,410,44,gan
64,t15,15,fixed,15.0,41,3,38,6,35,50,9,gan
64,p90,90th pct,percentile,10.324409,340,52,288,132,208,410,70,gan
64,p95,95th pct,percentile,11.282691,310,50,260,121,189,419,109,gan
64,p99,99th pct,percentile,13.193153,137,17,120,29,108,159,22,gan
65,t5,5,fixed,5.0,195,24,171,51,144,162,33,gan
65,t10,10,fixed,10.0,331,51,280,108,223,418,87,gan
65,t15,15,fixed,15.0,45,4,41,7,38,51,6,gan
65,p90,90th pct,percentile,10.763879,303,52,251,100,203,365,62,gan
65,p95,95th pct,percentile,11.685539,231,42,189,68,163,335,104,gan
65,p99,99th pct,percentile,13.275552,105,16,89,26,79,143,38,gan
66,t5,5,fixed,5.0,141,15,126,35,106,163,22,gan
66,t10,10,fixed,10.0,357,61,296,122,235,418,61,gan
66,t15,15,fixed,15.0,39,4,35,5,34,57,18,gan
66,p90,90th pct,percentile,11.410873,239,34,205,60,179,311,72,gan
66,p95,95th pct,percentile,12.289804,189,36,153,52,137,307,118,gan
